age,income,loan_amount,credit_score,employment_years,existing_debt,has_coapplicant,previous_defaults,marital_status,education_level,approved
61,33662,21056,516,3,1902,0,0,married,master,1
69,41698,29593,325,3,5054,1,0,married,high_school,1
20,39073,10358,304,4,11617,1,1,single,high_school,0
54,36535,18863,831,1,1132,1,0,single,bachelor,1
68,37756,21076,689,2,0,1,0,single,high_school,1
24,37276,5501,747,3,19311,0,0,married,master,1
38,36478,26257,445,2,0,0,1,single,bachelor,0
26,62134,3479,687,1,0,0,1,single,phd,0
56,26017,18472,548,1,12726,0,0,married,high_school,1
35,31869,14443,825,3,2309,1,0,married,bachelor,1
21,16499,12445,761,0,4556,0,0,single,bachelor,1
42,70479,32375,312,3,8380,0,1,single,high_school,0
31,30663,9590,683,1,12585,1,0,married,bachelor,1
67,56894,9461,698,1,2666,0,0,married,high_school,1
26,53556,22652,318,7,15640,0,0,single,high_school,0
43,68739,18094,790,3,0,0,0,single,high_school,1
19,41220,22257,718,2,10319,0,0,single,none,0
37,27944,12935,636,4,0,0,0,single,bachelor,0
45,16997,14536,718,4,14606,0,1,married,high_school,0
64,8000,27207,421,0,5994,0,0,single,none,0
24,47904,5312,731,3,290,1,0,married,high_school,1
61,58959,11177,343,3,9640,1,0,married,high_school,1
25,53490,18386,616,7,11252,0,0,married,high_school,1
64,17464,10433,680,3,9493,0,0,single,high_school,1
52,63699,7439,444,2,0,1,0,married,bachelor,1
31,32432,16948,626,4,1612,1,0,single,bachelor,1
34,28676,22686,662,2,4971,0,0,married,bachelor,1
53,32029,10873,349,2,4711,0,0,widowed,bachelor,0
67,46411,10651,364,3,10248,1,1,single,high_school,0
57,18275,6818,654,0,0,0,0,single,bachelor,1
21,44333,9632,463,0,7340,0,0,single,bachelor,0
19,52730,20669,440,3,2970,0,0,married,high_school,1
23,64932,12649,427,4,0,0,0,married,bachelor,1
59,48167,5560,697,6,0,0,1,married,high_school,0
21,20887,14099,762,4,3498,0,0,married,high_school,1
46,47680,20410,486,2,0,1,0,single,bachelor,0
35,25915,7505,489,2,91,0,0,married,high_school,1
43,24877,1371,687,8,0,0,0,married,high_school,1
61,20471,29527,728,4,8729,0,0,married,high_school,1
51,10597,972,583,3,0,1,0,married,high_school,0
27,34791,9128,536,1,3494,0,0,married,high_school,1
53,65320,13857,493,2,15796,0,0,married,bachelor,0
31,85617,9821,586,1,11960,0,0,married,bachelor,1
48,34675,11401,435,3,11316,1,0,married,bachelor,1
65,64550,16615,470,4,1501,0,0,married,high_school,0
32,37898,500,458,0,8801,0,1,married,phd,0
25,15287,1865,500,2,3363,0,0,married,bachelor,1
31,57617,12354,786,5,3627,1,0,married,high_school,1
40,49227,8766,803,5,7868,0,0,single,master,1
57,77724,13035,670,3,821,1,0,single,bachelor,1
38,17376,13821,402,1,15451,1,0,single,bachelor,0
33,95329,500,424,3,3879,1,0,married,high_school,1
62,73651,22189,612,2,9329,0,0,married,high_school,0
35,44677,8014,757,5,15189,1,0,divorced,master,1
64,39625,5076,529,1,12222,0,0,single,bachelor,1
41,32115,13667,496,3,0,0,0,single,bachelor,0
43,46975,12857,722,3,8114,1,0,single,bachelor,1
42,41689,21574,470,4,10955,0,0,single,master,1
62,54248,14175,681,2,11243,0,0,married,high_school,1
58,39701,21265,472,2,0,0,0,single,bachelor,1
46,70469,4495,752,1,401,0,1,married,high_school,1
32,47251,13135,649,0,11962,0,0,married,bachelor,1
62,40377,3082,793,2,0,1,0,married,bachelor,1
18,63437,12781,303,2,2902,1,0,married,high_school,1
42,15795,11086,392,1,16031,0,0,single,bachelor,1
24,51138,10742,305,5,4665,0,0,single,high_school,1
26,45460,10812,587,7,0,1,0,married,high_school,1
41,19605,17891,445,2,0,0,0,married,high_school,1
18,14247,500,723,2,7329,0,0,single,high_school,1
61,63186,4802,756,2,0,0,0,single,high_school,1
25,62330,11675,501,1,3269,0,0,single,high_school,0
41,48106,2571,511,2,7333,0,0,single,bachelor,0
28,75900,12369,305,2,14094,0,0,divorced,bachelor,0
68,52937,11593,675,5,9673,0,0,married,bachelor,1
34,67496,770,746,0,2,0,0,single,high_school,1
25,52566,500,405,3,13249,0,0,married,master,1
52,40035,500,700,2,2903,1,0,married,bachelor,1
52,25964,2235,395,5,0,1,0,single,high_school,1
50,34138,12115,687,3,3796,0,0,divorced,bachelor,1
22,40372,13250,751,5,15067,0,0,married,high_school,1
59,69537,13615,715,6,6157,1,0,married,bachelor,1
56,58859,5777,803,3,5088,0,0,married,high_school,0
58,50946,11854,753,5,16460,1,0,married,high_school,1
45,60660,15178,590,2,0,0,0,single,master,0
24,54493,1856,833,0,0,1,0,married,high_school,1
26,49715,12987,492,6,0,0,0,widowed,high_school,0
25,18024,17252,449,5,7609,0,0,single,master,1
29,65505,8074,814,3,6165,1,0,married,master,0
51,36747,20498,692,6,15799,0,0,married,bachelor,1
50,64594,8261,615,3,6704,0,0,single,high_school,1
65,66334,5120,375,1,2171,0,0,married,high_school,1
40,32939,16455,569,0,5013,1,0,single,bachelor,1
41,62095,28266,524,2,5824,0,0,married,high_school,0
54,38502,12683,829,2,0,0,1,single,high_school,0
52,38609,17079,412,4,23972,0,0,divorced,bachelor,1
61,49635,7930,550,5,8639,0,0,single,high_school,1
57,50121,2067,532,1,6470,0,0,single,none,1
39,45694,13330,382,4,9306,0,0,single,high_school,0
44,20983,14595,424,3,9966,0,0,divorced,high_school,0
52,42814,9137,474,2,4016,0,0,married,high_school,1
18,86013,17048,368,3,581,0,0,married,high_school,1
52,8000,6767,346,2,9196,0,0,married,high_school,1
54,60655,4783,555,3,7700,0,0,married,bachelor,1
64,64028,20485,329,5,0,0,1,single,bachelor,0
31,20550,20523,580,2,14933,1,0,married,high_school,1
20,36550,6925,536,5,7053,0,1,single,bachelor,0
18,26987,25751,547,1,10109,1,0,divorced,high_school,1
22,78371,9703,667,0,14743,0,0,married,high_school,1
43,64854,12678,794,4,5153,0,0,single,high_school,1
31,65726,11323,324,6,7219,0,1,single,bachelor,0
56,47172,16190,789,4,10670,0,0,married,bachelor,1
44,68618,14171,793,3,0,1,0,single,bachelor,0
26,44852,14064,613,5,5378,1,0,single,high_school,1
32,69465,3844,674,2,5879,1,0,single,high_school,1
32,42323,500,324,2,0,0,0,married,bachelor,0
43,32774,21137,633,2,21223,0,1,married,high_school,0
59,77597,7636,654,4,0,0,0,single,bachelor,1
30,44625,11608,415,3,0,1,0,single,bachelor,1
68,28822,14614,347,5,14200,0,0,married,bachelor,0
49,28627,25032,398,2,9993,0,0,married,master,0
56,28682,13291,758,2,0,0,0,single,master,1
66,60200,8842,822,3,9251,0,0,single,bachelor,1
69,43220,7812,704,3,15275,1,0,divorced,bachelor,1
49,86363,11701,513,4,4788,0,0,divorced,high_school,1
21,66351,4725,802,1,23192,0,0,widowed,master,0
47,49628,12231,747,0,0,0,0,married,high_school,1
54,70270,11584,557,1,9857,1,0,single,high_school,0
40,36081,25132,420,4,13166,0,0,single,high_school,1
56,11614,11331,353,3,11239,1,0,single,high_school,0
62,27188,500,630,4,3570,0,0,single,bachelor,0
32,47650,33388,540,1,2967,1,0,divorced,bachelor,0
60,40994,19655,829,5,8109,1,0,married,high_school,1
46,59839,28659,782,3,10710,0,0,married,high_school,1
53,42757,2741,486,4,9217,0,0,single,master,1
30,58465,10225,561,4,12280,0,0,divorced,bachelor,1
49,72017,17395,663,4,0,0,0,married,master,1
24,42701,16291,790,1,3406,1,0,single,high_school,0
68,54993,14456,730,4,0,0,0,married,bachelor,1
39,13414,500,538,3,2297,0,0,single,bachelor,1
45,42770,500,603,2,12107,0,0,single,high_school,1
19,22825,24140,597,5,5756,0,1,married,high_school,0
59,47614,25563,375,4,23248,1,0,married,high_school,0
62,49248,11147,632,3,6354,0,0,single,high_school,1
23,49188,23123,773,4,5418,1,0,single,phd,1
45,36358,3814,582,4,5743,1,0,widowed,high_school,1
45,86372,5645,371,3,535,0,0,married,high_school,1
61,22176,3182,562,1,4595,0,0,married,high_school,1
61,21075,5201,311,2,12895,1,0,single,high_school,0
37,74790,17782,440,0,5798,0,0,single,bachelor,0
47,32323,5101,316,4,0,0,0,single,high_school,1
28,27996,29918,362,1,0,0,0,single,bachelor,0
45,86452,15681,552,5,1849,0,0,single,high_school,1
42,62743,20676,764,1,5517,1,0,single,bachelor,1
56,34300,15920,675,4,13355,0,0,married,bachelor,1
50,48915,21714,819,1,0,0,0,single,master,1
18,80026,5056,389,6,2761,1,0,married,master,1
44,57449,23575,474,4,6010,1,0,single,bachelor,1
69,68151,13128,375,1,0,0,0,married,high_school,1
30,59486,21674,699,3,0,1,0,single,bachelor,1
58,61745,500,370,3,241,0,0,married,bachelor,1
20,45715,13445,479,4,0,1,0,single,master,1
56,45204,13162,423,2,6343,0,0,divorced,high_school,1
23,49807,7046,680,4,3876,0,0,married,high_school,1
25,58220,14505,592,3,1113,1,0,married,bachelor,1
44,39900,24317,494,3,7996,0,0,single,high_school,1
26,47197,6431,527,2,17062,1,0,married,high_school,0
54,39414,19695,730,4,16475,0,0,married,high_school,1
50,47082,2981,735,3,0,1,0,single,bachelor,1
68,22482,28876,760,1,9040,1,1,married,phd,1
59,91908,18277,320,1,3754,0,0,married,bachelor,1
61,31807,25801,363,2,6086,1,0,married,high_school,0
41,38494,17376,464,2,2212,0,0,married,high_school,0
32,30253,15125,326,1,5823,1,0,married,high_school,0
49,56083,18343,610,6,6060,0,0,divorced,bachelor,1
49,41472,10908,584,2,947,1,0,single,bachelor,1
41,27651,500,580,5,0,0,0,married,high_school,1
58,56824,15579,463,7,1859,0,0,married,bachelor,1
69,59250,5956,523,5,6640,0,0,married,bachelor,1
66,43796,3187,445,4,9193,0,0,widowed,high_school,0
66,33055,17090,329,3,10973,1,0,single,high_school,0
69,84439,9767,344,4,1541,0,0,single,phd,1
29,51121,20222,770,1,6987,0,0,single,high_school,1
56,22067,5688,333,2,11738,0,0,single,bachelor,1
19,70453,8233,726,4,13159,0,0,single,high_school,1
20,29596,21202,520,1,4588,0,0,married,bachelor,1
66,94354,14239,833,4,3453,1,0,single,bachelor,1
54,46434,500,666,6,6338,1,1,married,bachelor,0
66,63240,14062,849,3,0,0,0,married,master,1
34,8000,23850,415,1,3645,0,0,single,master,0
66,21885,8171,538,2,10212,0,0,single,bachelor,1
19,69009,16784,634,4,9494,0,0,married,high_school,0
19,50721,5205,740,3,3108,0,0,married,high_school,1
45,81763,10906,447,1,6524,1,0,married,bachelor,0
40,53733,20719,308,7,0,0,0,married,bachelor,1
54,47615,13754,587,2,9924,1,0,divorced,high_school,1
49,75844,22314,687,5,4455,0,0,married,high_school,1
50,63182,15402,349,6,3068,0,0,divorced,bachelor,1
18,41467,29750,816,1,2468,0,0,married,high_school,1
36,25306,500,577,0,4560,0,0,married,bachelor,0
19,8000,10262,599,2,1865,0,0,single,bachelor,0
61,37122,3324,434,3,9607,1,0,divorced,bachelor,1
43,23646,3870,446,5,2233,0,0,married,high_school,0
49,91759,3943,789,0,16151,1,0,married,high_school,0
23,33293,13342,777,0,15256,0,0,single,high_school,1
49,32801,13810,458,3,0,0,0,single,high_school,0
21,17618,15420,683,4,5488,0,0,single,bachelor,1
28,40206,3016,462,3,445,0,0,single,bachelor,1
34,33038,9406,740,4,2713,0,0,single,high_school,1
55,76279,4286,488,3,19017,0,0,married,high_school,0
41,48033,19487,714,5,2847,0,0,single,high_school,1
22,44840,5038,638,6,7522,0,0,single,phd,1
69,42576,10290,480,3,8789,0,0,single,high_school,1
51,59151,16482,587,4,0,0,0,married,master,1
23,36858,7075,486,1,0,0,0,single,master,1
39,57010,17551,437,3,0,1,0,single,bachelor,1
28,74051,24769,429,3,0,0,0,married,bachelor,1
65,53281,13518,493,2,0,1,0,married,high_school,0
33,40505,19213,615,4,8812,0,0,single,bachelor,1
50,27838,500,443,3,19379,1,0,single,high_school,0
26,40048,8568,315,5,6035,0,0,single,master,1
23,55135,13479,601,3,0,1,1,divorced,high_school,0
33,17415,3576,722,3,501,0,0,single,bachelor,1
46,59968,13661,544,2,1788,1,0,married,high_school,1
20,48737,20480,406,0,0,0,0,single,master,0
37,42315,500,387,4,11021,0,0,married,high_school,1
53,33131,2487,428,3,10672,0,0,single,bachelor,0
36,36425,13479,640,2,0,0,0,single,bachelor,1
43,55752,15683,303,4,10076,0,0,married,high_school,0
20,42692,17905,626,6,15688,0,0,single,bachelor,1
36,35979,12887,709,4,18318,0,0,single,master,1
37,53434,15692,605,4,25056,1,0,married,high_school,1
49,54147,19228,524,2,0,0,0,widowed,master,1
24,22515,8684,647,1,24770,1,0,single,bachelor,1
69,55287,7131,620,1,2521,0,0,married,bachelor,1
58,90031,10652,480,1,853,0,0,divorced,high_school,1
50,53453,13596,685,4,7290,1,0,married,bachelor,0
57,14418,6734,407,3,926,1,0,married,master,1
56,48193,8850,830,4,7793,1,0,married,high_school,1
35,12045,15182,709,4,0,0,0,single,bachelor,1
57,102013,13262,595,2,3329,0,0,married,high_school,1
18,85242,10517,470,6,13999,0,0,single,high_school,1
28,33013,500,630,3,4601,0,1,single,bachelor,1
45,8000,11972,792,1,5991,0,0,single,bachelor,1
42,29189,4240,494,3,8327,1,0,single,bachelor,1
67,41742,19865,311,2,13195,1,0,married,high_school,1
40,13286,9530,494,2,0,0,0,married,high_school,0
48,43758,4030,789,3,9092,0,0,married,high_school,1
47,41624,11508,481,3,3123,1,0,single,bachelor,1
59,47253,22166,615,3,6166,0,0,single,master,1
52,49134,17047,329,3,12420,0,0,married,bachelor,1
24,27619,13759,395,6,0,0,0,widowed,high_school,1
33,29639,1391,680,6,0,0,0,single,master,1
43,45821,24973,743,3,0,1,0,single,bachelor,1
65,33642,7027,597,3,1156,0,0,married,bachelor,0
69,61335,19470,660,3,14313,0,0,single,high_school,1
66,45646,9397,673,2,4156,0,0,married,bachelor,1
19,78570,18700,602,3,0,1,0,married,high_school,1
18,59769,22455,720,3,1600,1,0,single,high_school,1
65,64867,17185,545,3,0,0,0,single,none,1
29,47386,18047,536,1,0,0,0,single,high_school,0
22,47833,11212,833,4,7722,0,0,single,high_school,0
54,76164,8528,484,1,0,0,0,married,high_school,1
49,38191,13106,767,4,12788,0,0,married,high_school,1
26,54842,9281,662,2,4502,0,0,married,bachelor,1
58,40208,31738,582,2,5599,0,0,married,high_school,0
52,40165,4061,635,5,3051,0,0,single,bachelor,1
36,23960,20017,461,4,10410,0,0,married,high_school,0
65,31635,16138,459,1,10482,1,0,married,master,1
33,28291,13839,773,1,7345,0,0,married,master,1
20,55699,23839,621,5,8954,0,0,single,high_school,1
37,63724,14387,311,3,3515,1,0,married,bachelor,0
41,43294,6921,723,1,8795,0,0,married,high_school,1
50,49133,14334,372,1,2635,1,0,single,master,0
41,42256,10535,500,5,5016,0,0,single,bachelor,1
69,30406,16026,821,4,3077,0,0,married,high_school,1
28,60521,18505,804,4,1799,1,0,single,high_school,1
66,56746,5127,338,1,176,0,0,married,high_school,1
25,10934,21563,359,0,8274,1,0,divorced,high_school,0
53,39904,9961,620,4,14174,0,0,married,bachelor,1
55,29124,15549,734,2,13198,0,0,married,high_school,0
57,37963,16936,707,4,0,0,0,married,high_school,1
37,32932,14939,685,1,14024,0,0,single,high_school,1
52,44164,11127,377,1,2773,0,0,single,high_school,1
65,39062,8091,493,4,9205,0,1,divorced,high_school,0
42,38679,9848,584,2,0,0,0,married,bachelor,0
52,64933,24521,826,1,5994,0,0,single,high_school,1
42,55029,5073,823,1,7196,1,0,single,bachelor,1
46,32330,6246,455,3,0,0,0,married,high_school,1
35,35000,5895,639,4,9258,1,0,married,high_school,1
63,53852,13086,424,2,14422,0,0,married,bachelor,1
35,53828,500,579,2,3777,0,0,single,high_school,1
19,34132,1172,427,4,14521,1,0,divorced,high_school,0
52,40788,9912,613,3,3672,0,0,married,bachelor,1
33,78243,1698,631,1,10947,0,0,married,bachelor,1
58,34442,2350,449,1,0,0,0,married,high_school,1
53,79394,1758,753,3,21931,0,0,single,bachelor,1
50,64866,5227,335,2,15468,0,1,divorced,bachelor,0
21,76057,17850,719,3,3008,1,0,single,high_school,1
50,33677,19646,321,2,0,0,0,single,high_school,1
31,41966,27352,505,6,7016,1,0,married,high_school,1
38,36915,27059,655,7,0,0,0,married,high_school,1
65,65282,18291,739,4,8114,0,0,married,bachelor,1
37,34782,20221,395,2,7881,0,0,married,master,0
25,58162,13049,463,2,0,1,0,single,master,1
24,57209,16159,447,0,12847,1,0,divorced,high_school,1
20,44135,27549,829,5,10639,0,0,single,high_school,1
34,68376,14970,593,2,11831,0,0,married,bachelor,1
50,46938,21226,494,4,5062,0,0,single,high_school,1
65,60014,4525,779,4,0,0,0,married,bachelor,1
29,36095,6670,422,4,11845,0,0,single,bachelor,0
68,31978,14497,699,5,3107,1,0,married,master,1
39,58161,13199,751,3,0,0,0,married,none,1
39,52755,7041,403,3,14464,1,0,married,high_school,1
63,49380,31259,761,5,19696,0,0,married,master,1
47,38814,13381,695,4,4711,0,0,married,bachelor,1
55,72886,8458,636,3,20114,0,0,married,master,1
55,24901,13213,441,4,5639,1,0,divorced,high_school,1
62,23916,12203,616,3,2337,1,0,single,bachelor,1
68,61959,13502,826,3,587,0,0,single,bachelor,1
25,60482,500,700,4,16460,0,0,single,high_school,0
44,51368,22336,609,3,0,0,0,single,bachelor,0
44,39817,22791,794,1,10147,0,0,single,bachelor,1
51,54044,23763,408,3,1086,0,0,married,high_school,0
38,75975,14603,671,2,1778,1,1,single,high_school,1
47,90280,17300,505,2,12212,0,0,single,bachelor,1
50,15185,5070,342,4,2340,1,0,single,high_school,1
45,37459,18663,544,4,2166,0,0,married,master,1
64,36328,14014,586,1,12930,0,0,married,high_school,0
50,74277,8317,654,7,16182,1,0,single,high_school,1
22,8000,18918,775,3,9513,0,0,married,phd,1
65,54249,19228,382,2,417,1,0,single,master,0
36,40377,12485,409,6,1426,0,0,widowed,high_school,0
21,74486,15507,489,0,5559,0,0,married,bachelor,1
52,72019,3746,550,6,7247,1,0,single,high_school,0
66,51579,21945,590,3,0,1,0,married,high_school,1
34,16565,4809,500,3,10061,0,0,married,high_school,1
61,34670,6357,625,5,5599,0,1,single,high_school,0
45,36641,12499,810,5,0,1,0,married,bachelor,1
47,21124,20916,708,2,0,1,0,single,bachelor,1
46,65783,20912,807,4,1471,0,0,single,phd,1
63,18838,11961,371,3,4490,1,0,single,bachelor,0
23,80376,18184,546,6,18225,0,0,single,high_school,1
52,80331,500,643,1,6667,0,0,single,bachelor,1
58,38069,6245,353,3,0,0,0,divorced,phd,1
54,50913,6408,827,5,6544,0,0,single,bachelor,1
41,43699,22018,831,3,2535,1,0,single,bachelor,1
46,61233,17237,492,2,7273,0,0,married,master,1
66,67944,13477,357,0,9064,1,0,married,high_school,1
63,49644,14254,736,1,13465,0,0,widowed,bachelor,1
48,53444,24547,410,4,4830,1,0,married,master,1
52,33829,10639,428,6,16473,1,0,divorced,master,1
50,52861,1487,625,2,11356,0,0,married,high_school,0
69,47930,20698,307,4,48,0,0,divorced,bachelor,1
38,28588,13455,328,1,20469,0,0,married,bachelor,0
49,44747,19629,411,1,7289,1,0,single,high_school,1
40,38103,11642,430,9,0,1,0,single,bachelor,1
50,34029,5290,487,2,16570,0,0,married,high_school,1
20,24363,15223,774,2,19544,1,0,single,high_school,0
35,46125,12081,663,3,4769,0,0,single,high_school,1
42,30951,13480,503,4,1474,0,0,married,bachelor,1
59,36520,24933,511,2,3793,1,0,divorced,high_school,0
48,64352,3210,575,1,10003,0,0,single,bachelor,1
20,56378,14287,372,2,13945,1,0,married,high_school,1
57,27382,5448,542,1,8993,0,0,married,high_school,1
63,51334,500,401,0,5712,0,0,divorced,high_school,1
41,47390,11608,470,3,15486,0,1,divorced,high_school,0
67,75631,12248,487,2,2810,0,0,married,bachelor,1
49,69897,16988,740,6,12216,1,0,married,bachelor,1
64,17393,10260,385,2,2984,0,0,single,high_school,0
39,60500,500,775,2,8017,0,0,married,high_school,1
40,67774,5421,351,2,4205,0,0,married,bachelor,1
19,55068,22536,410,6,4609,0,0,married,high_school,1
44,38963,5307,342,1,2358,1,0,married,master,1
59,88441,24666,510,4,14414,0,0,single,bachelor,1
19,56725,20400,499,4,0,0,0,married,high_school,1
43,80578,9458,325,2,0,1,1,single,high_school,0
34,69327,6167,598,3,19847,0,0,single,bachelor,1
57,53354,20383,376,0,11845,1,0,single,high_school,0
50,34565,10073,436,3,0,0,0,single,high_school,1
26,44566,500,319,4,1043,0,0,married,high_school,1
60,41006,16499,739,2,0,1,0,single,bachelor,1
65,23139,15338,510,4,0,1,0,single,bachelor,1
56,56705,21102,734,0,0,0,0,divorced,none,0
46,73212,14797,506,2,4041,0,0,single,bachelor,1
59,39631,7607,738,4,0,0,0,single,high_school,1
43,83946,22157,341,4,5419,0,1,single,bachelor,0
52,16964,22936,710,2,0,1,0,single,high_school,1
67,63979,13866,822,3,5580,0,0,single,bachelor,1
42,75087,12483,726,4,2096,0,0,single,phd,1
41,41327,1414,574,4,15514,1,0,married,high_school,1
30,41651,7140,747,3,14879,0,0,single,high_school,1
24,63770,18086,668,3,10497,0,1,single,high_school,1
53,54108,7542,519,3,2714,1,0,married,high_school,1
62,9047,500,531,2,18898,1,1,single,high_school,0
37,29819,39967,627,3,0,0,0,divorced,bachelor,1
18,44756,500,742,4,0,0,0,married,master,0
25,20345,30054,351,5,4414,0,0,single,high_school,1
63,36465,9541,675,5,20778,0,0,married,bachelor,0
33,20796,11323,562,1,3584,0,0,single,bachelor,1
31,38337,6622,566,5,3717,1,0,single,bachelor,1
29,38941,18263,658,4,0,1,0,married,high_school,1
68,51332,500,616,2,11622,1,0,married,high_school,1
40,43348,500,623,2,11672,0,0,married,bachelor,0
32,54050,24881,720,1,10524,1,0,divorced,high_school,0
45,51904,5568,345,3,595,0,0,single,bachelor,1
51,63564,17969,568,5,53,0,0,married,bachelor,1
19,60728,3316,680,1,0,0,0,married,high_school,1
49,58826,17667,417,2,5587,0,0,widowed,high_school,0
40,100888,25468,415,3,0,1,0,married,master,1
39,51253,7783,559,3,0,0,0,divorced,bachelor,1
68,91684,500,374,3,2034,0,0,single,master,1
42,52420,25510,779,3,1576,1,0,married,high_school,1
39,43509,19410,604,5,1234,0,0,single,bachelor,1
39,38283,8211,306,4,8265,1,0,single,bachelor,1
66,72175,10256,665,3,5553,0,0,divorced,master,0
69,74529,3115,822,5,2983,0,1,single,high_school,0
59,55796,23362,647,4,6281,1,0,divorced,high_school,1
23,65404,7722,737,1,0,0,0,single,high_school,1
32,22010,650,514,3,5737,0,0,married,master,1
60,17122,13709,728,3,6054,0,0,single,master,1
54,67434,5120,797,1,0,0,0,single,phd,1
50,42717,3760,839,5,11970,0,0,single,master,1
25,58487,8559,666,3,0,0,1,married,none,0
61,32089,12691,612,2,5632,0,0,single,high_school,1
61,74826,951,837,3,13151,1,0,married,high_school,1
22,17272,23081,353,3,11480,0,0,single,high_school,0
56,20059,17417,840,3,5240,0,0,single,master,1
21,70998,9077,766,1,2463,0,0,single,master,1
23,8000,4773,463,5,11633,1,0,single,high_school,1
62,51814,11286,633,1,9723,1,0,married,bachelor,1
49,43068,19195,846,4,671,1,0,married,master,1
69,31753,17957,647,2,0,1,0,single,high_school,1
47,41401,20468,572,3,0,0,0,married,high_school,1
64,29745,8157,713,4,6078,0,0,married,high_school,1
52,72761,500,799,3,4421,0,0,single,high_school,1
57,77481,21982,392,8,12953,0,0,single,bachelor,1
69,32657,10662,378,2,7513,0,0,married,high_school,0
33,49959,17329,516,2,14340,0,0,single,none,1
30,21149,25354,657,1,118,1,0,single,phd,1
67,64315,31475,806,1,12967,1,0,single,bachelor,1
59,63846,6801,480,5,1298,0,0,married,bachelor,1
47,39685,13072,545,2,10443,1,0,single,master,1
36,45304,22935,543,0,0,0,0,single,high_school,1
34,43312,5246,805,2,6646,0,0,single,high_school,0
36,15868,7343,721,5,0,0,1,single,bachelor,0
45,72828,7296,619,4,3130,0,0,single,high_school,1
43,31195,11775,386,4,8082,0,0,divorced,bachelor,0
54,31317,10239,516,4,1353,1,0,single,high_school,1
43,42292,7250,789,4,0,0,0,married,high_school,1
40,62920,4274,818,1,10923,0,0,single,bachelor,1
26,34357,18496,577,3,4276,0,0,married,high_school,1
29,9861,22703,468,1,1573,0,0,married,bachelor,0
18,29034,23862,629,4,5293,1,0,single,bachelor,1
18,52635,8151,740,4,23457,0,0,married,master,0
64,84416,18830,690,3,13075,1,0,married,bachelor,1
51,22321,13891,795,3,13138,1,0,married,high_school,1
49,21663,7435,680,3,8049,0,0,single,bachelor,1
65,17773,17874,605,4,6165,0,0,widowed,bachelor,1
42,15539,7067,812,2,0,1,0,married,bachelor,1
57,66702,8991,487,3,247,1,1,divorced,master,0
62,71904,986,815,4,1636,0,0,married,bachelor,1
18,48200,8286,726,5,0,1,0,married,high_school,1
33,36581,14031,801,2,0,1,0,married,bachelor,1
56,77241,24551,559,2,0,0,0,married,high_school,1
22,48130,9172,812,1,4732,0,0,divorced,high_school,1
39,64610,3695,370,2,10731,1,0,single,bachelor,1
46,35704,23979,777,4,12747,0,0,married,high_school,1
20,45796,7964,477,2,7903,0,0,single,high_school,1
29,22728,500,756,2,0,0,0,married,none,1
43,56326,13065,488,4,0,0,0,single,bachelor,1
33,48437,9402,590,3,0,0,0,single,high_school,1
68,28898,30403,819,4,0,1,0,divorced,bachelor,1
54,29140,15803,591,1,0,0,1,single,high_school,0
39,74087,10829,582,3,3882,0,0,married,bachelor,1
46,80490,4604,843,6,0,0,0,married,high_school,1
31,41164,14641,676,3,7373,0,0,single,bachelor,1
45,46220,23654,455,1,3374,0,0,single,high_school,1
22,52202,14495,807,3,5074,0,0,married,master,1
